p1,p2,p3,p4,players,team1,team2,ordered_key,unique_key,played_ordered,played_unique,elo_pred_team1_win_prob,trueskill_pred_team1_win_prob,tree_pred_team1_win_prob,sort_prob,closeness
CH,FZ,NS,TT,"['CH', 'FZ', 'NS', 'TT']",CH + FZ,NS + TT,CH|FZ|NS|TT,"CH,FZ||NS,TT",False,False,0.6093867233152689,0.9397711535890252,0.990563418252073,0.990563418252073,0.49056341825207295
FZ,CH,NS,TT,"['FZ', 'CH', 'NS', 'TT']",FZ + CH,NS + TT,FZ|CH|NS|TT,"CH,FZ||NS,TT",False,False,0.6093867233152689,0.9397711535890252,0.990563418252073,0.990563418252073,0.49056341825207295
CH,FZ,AC,NS,"['CH', 'FZ', 'AC', 'NS']",CH + FZ,AC + NS,CH|FZ|AC|NS,"AC,NS||CH,FZ",False,True,0.6118544195001141,0.9170867492403805,0.9905694451360445,0.9905694451360445,0.4905694451360445
FZ,CH,AC,NS,"['FZ', 'CH', 'AC', 'NS']",FZ + CH,AC + NS,FZ|CH|AC|NS,"AC,NS||CH,FZ",True,True,0.6118544195001141,0.9170867492403805,0.9905694451360445,0.9905694451360445,0.4905694451360445
CH,SY,RS,TD,"['CH', 'SY', 'RS', 'TD']",CH + SY,RS + TD,CH|SY|RS|TD,"CH,SY||RS,TD",False,False,0.5832460515720251,0.9956342480468539,0.9906109145625224,0.9906109145625224,0.49061091456252237
SY,CH,RS,TD,"['SY', 'CH', 'RS', 'TD']",SY + CH,RS + TD,SY|CH|RS|TD,"CH,SY||RS,TD",False,False,0.5832460515720251,0.9956342480468539,0.9906109145625224,0.9906109145625224,0.49061091456252237
CH,SY,TD,TT,"['CH', 'SY', 'TD', 'TT']",CH + SY,TD + TT,CH|SY|TD|TT,"CH,SY||TD,TT",False,True,0.5940940547474568,0.9520306225781251,0.9906446309356479,0.9906446309356479,0.4906446309356479
SY,CH,TD,TT,"['SY', 'CH', 'TD', 'TT']",SY + CH,TD + TT,SY|CH|TD|TT,"CH,SY||TD,TT",False,True,0.5940940547474568,0.9520306225781251,0.9906446309356479,0.9906446309356479,0.4906446309356479
CH,FZ,TT,TD,"['CH', 'FZ', 'TT', 'TD']",CH + FZ,TT + TD,CH|FZ|TT|TD,"CH,FZ||TD,TT",False,False,0.627444915838571,0.9795535402449012,0.9907490820701552,0.9907490820701552,0.4907490820701552
FZ,CH,TT,TD,"['FZ', 'CH', 'TT', 'TD']",FZ + CH,TT + TD,FZ|CH|TT|TD,"CH,FZ||TD,TT",False,False,0.627444915838571,0.9795535402449012,0.9907490820701552,0.9907490820701552,0.4907490820701552
AC,RS,FZ,CH,"['AC', 'RS', 'FZ', 'CH']",AC + RS,FZ + CH,AC|RS|FZ|CH,"AC,RS||CH,FZ",False,False,0.3743225203652582,0.0024287057548612566,0.009228989888305787,0.009228989888305787,0.4907710101116942
CH,NS,TD,RS,"['CH', 'NS', 'TD', 'RS']",CH + NS,TD + RS,CH|NS|TD|RS,"CH,NS||RS,TD",False,False,0.5613074000430851,0.9889824619297658,0.9908147620290201,0.9908147620290201,0.4908147620290201
AC,TD,TT,CH,"['AC', 'TD', 'TT', 'CH']",AC + TD,TT + CH,AC|TD|TT|CH,"AC,TD||CH,TT",False,False,0.45060037135990993,0.2563734725253748,0.009167607896868563,0.009167607896868563,0.49083239210313145
SY,AC,NS,CH,"['SY', 'AC', 'NS', 'CH']",SY + AC,NS + CH,SY|AC|NS|CH,"AC,SY||CH,NS",False,True,0.46618361801392066,0.38924287009634506,0.9908385585937362,0.9908385585937362,0.49083855859373615
FZ,TT,RS,TD,"['FZ', 'TT', 'RS', 'TD']",FZ + TT,RS + TD,FZ|TT|RS|TD,"FZ,TT||RS,TD",False,False,0.5650617765564522,0.986700293928205,0.9909152438251856,0.9909152438251856,0.4909152438251856
NS,FZ,CH,TD,"['NS', 'FZ', 'CH', 'TD']",NS + FZ,CH + TD,NS|FZ|CH|TD,"CH,TD||FZ,NS",False,False,0.5486465229252303,0.8253503421834143,0.9909165095399707,0.9909165095399707,0.4909165095399707
AC,RS,NS,CH,"['AC', 'RS', 'NS', 'CH']",AC + RS,NS + CH,AC|RS|NS|CH,"AC,RS||CH,NS",False,False,0.42954223372697237,0.01665375324665794,0.009005970205449921,0.009005970205449921,0.4909940297945501
