game_id,day,date,player,elo_after_game
10,2,,SY,1506.8929675818174
11,2,,SY,1509.735337339635
12,2,,SY,1512.735520036307
13,3,,SY,1515.8777612297818
14,3,,SY,1518.704836910899
15,3,,SY,1521.8960995387606
16,3,,SY,1519.0106468477356
17,3,,SY,1521.8112763301153
20,4,,SY,1525.085417685299
21,4,,SY,1522.1167236817357
22,4,,SY,1518.7378387807262
24,5,,SY,1515.7639879706
25,5,,SY,1519.527274703488
27,5,,SY,1516.768170059031
28,5,,SY,1519.5319901135656
29,5,,SY,1522.2664708546179
30,6,,SY,1525.4719055967898
31,6,,SY,1522.032600568676
32,6,,SY,1518.7911564813141
33,6,,SY,1514.8754694778643
43,8,,SY,1511.7916439947232
44,8,,SY,1508.5631688556018
45,8,,SY,1511.9036952349952
46,8,,SY,1514.9157609489864
47,9,,SY,1518.1878967916361
48,9,,SY,1515.2433306107057
50,9,,SY,1512.5173826900734
54,11,,SY,1515.3428999854855
55,11,,SY,1518.148023494301
56,11,,SY,1521.5117893685926
57,11,,SY,1524.151638089164
58,11,,SY,1527.0195394294153
60,11,,SY,1524.2032506423386
61,11,,SY,1521.4677652062778
62,12,,SY,1525.1103224011395
63,12,,SY,1527.7711496343463
65,12,,SY,1531.320072396726
66,12,,SY,1528.0922052060728
67,12,,SY,1525.3088915965643
68,12,,SY,1522.0485339501818
70,12,,SY,1524.9087668415025
71,13,,SY,1521.539310664462
72,13,,SY,1518.5532871092848
73,13,,SY,1521.4835078557787
74,13,,SY,1518.4583694273947
76,13,,SY,1521.5101030852718
77,13,,SY,1524.4240131194847
78,13,,SY,1527.5883192694291
79,13,,SY,1524.6330106137423
81,13,,SY,1521.4397255584545
82,13,,SY,1524.7662891958328
85,14,,SY,1521.3031604622895
86,14,,SY,1524.786616088101
88,14,,SY,1528.1318661497558
90,14,,SY,1530.8807641732585
91,14,,SY,1533.6819762346402
93,14,,SY,1530.4556773644579
94,14,,SY,1533.3286425069164
95,15,,SY,1533.3286425069164
95,15,,SY,1533.3286425069164
96,15,,SY,1536.0165536457885
98,15,,SY,1539.9568984810862
99,15,,SY,1537.0059573940741
100,15,,SY,1534.1973366634804
102,16,,SY,1537.09474829625
104,16,,SY,1534.091235562477
105,16,,SY,1531.3263303874307
106,16,,SY,1534.0302868834217
107,16,,SY,1530.962549574762
108,16,,SY,1533.9730203874858
109,17,,SY,1536.9322774524696
110,17,,SY,1534.2604766870609
111,17,,SY,1531.3993869058081
112,17,,SY,1534.6150448869973
114,18,,SY,1537.5829181071144
115,18,,SY,1541.4348160121217
116,18,,SY,1544.4001894992673
117,18,,SY,1541.09467890311
118,18,,SY,1538.4579059679822
119,18,,SY,1541.6195179180959
120,19,,SY,1538.8245401494635
121,19,,SY,1535.7684129805389
122,19,,SY,1532.8196872737474
123,19,,SY,1530.105209493898
124,19,,SY,1532.574419764059
125,19,,SY,1535.41265807929
127,20,,SY,1532.788767201707
128,20,,SY,1530.0290807206295
129,20,,SY,1533.3006868183043
130,20,,SY,1530.5799412388014
